"imagem","media","variancia","moda"
"Rosto_Velho-ori.jpg",1.0,0.0,1.0
"Rosto_Sardas-healing.jpg",1.0,0.0,1.0
"face_rec_marcado.jpg",30.0,0.0,30.0
"pp.jpg",11.0,0.0,11.0
